,city_name,naics_2022_2,salary,wfh_wham,soc_2021_2,employment_type_name
90,"San Diego, CA",72,35360,0,35-0000,Full-time (> 32 hours)
91,"San Diego, CA",72,33280,0,43-0000,Full-time (> 32 hours)
92,"San Diego, CA",72,43680,0,35-0000,Part-time / full-time
93,"San Diego, CA",72,90000,0,17-0000,Full-time (> 32 hours)
94,"San Diego, CA",72,31200,0,53-0000,Part-time / full-time
95,"San Diego, CA",72,65200,1,11-0000,Full-time (> 32 hours)
96,"San Diego, CA",72,34320,0,99-0000,Part-time / full-time
97,"San Diego, CA",72,30160,0,41-0000,Full-time (> 32 hours)
98,"San Diego, CA",72,34320,0,35-0000,Part-time / full-time
99,"San Diego, CA",72,35100,0,29-0000,Full-time (> 32 hours)
100,"San Diego, CA",72,44720,0,11-0000,Part-time (≤ 32 hours)
101,"San Diego, CA",72,37440,0,53-0000,Full-time (> 32 hours)
102,"San Diego, CA",72,36400,0,33-0000,Full-time (> 32 hours)
103,"San Diego, CA",72,31200,0,35-0000,Full-time (> 32 hours)
104,"San Diego, CA",72,67600,0,35-0000,Part-time (≤ 32 hours)
105,"San Diego, CA",72,41600,0,41-0000,Full-time (> 32 hours)
106,"San Diego, CA",72,125000,0,41-0000,Part-time (≤ 32 hours)
107,"San Diego, CA",72,33280,0,41-0000,Part-time / full-time
108,"San Diego, CA",72,43680,0,35-0000,Part-time / full-time
109,"San Diego, CA",72,42640,0,43-0000,Full-time (> 32 hours)
110,"San Diego, CA",72,45000,0,13-0000,Full-time (> 32 hours)
111,"San Diego, CA",72,35360,0,37-0000,Full-time (> 32 hours)
112,"San Diego, CA",72,31200,0,35-0000,Part-time (≤ 32 hours)
113,"San Diego, CA",72,33800,0,35-0000,Part-time / full-time
114,"San Diego, CA",72,35360,0,33-0000,Part-time / full-time
115,"San Diego, CA",72,90000,0,99-0000,Full-time (> 32 hours)
116,"San Diego, CA",72,35360,0,11-0000,Part-time (≤ 32 hours)
117,"San Diego, CA",72,40560,0,35-0000,Part-time / full-time
118,"San Diego, CA",72,31720,0,35-0000,Part-time / full-time
119,"San Diego, CA",72,31200,0,35-0000,Full-time (> 32 hours)
120,"San Diego, CA",72,42120,0,11-0000,Full-time (> 32 hours)
121,"San Diego, CA",72,35360,0,43-0000,Full-time (> 32 hours)
122,"San Diego, CA",72,52000,0,11-0000,Full-time (> 32 hours)
123,"San Diego, CA",72,31200,0,35-0000,Part-time (≤ 32 hours)
124,"San Diego, CA",72,32240,0,43-0000,Part-time (≤ 32 hours)
125,"San Diego, CA",72,33280,0,35-0000,Part-time / full-time
126,"San Diego, CA",72,37440,0,43-0000,Full-time (> 32 hours)
127,"San Diego, CA",72,38480,0,35-0000,Part-time / full-time
128,"San Diego, CA",72,31200,0,53-0000,Part-time / full-time
129,"San Diego, CA",72,37440,0,37-0000,Full-time (> 32 hours)
130,"San Diego, CA",72,33280,0,43-0000,Full-time (> 32 hours)
131,"San Diego, CA",72,43680,0,35-0000,Part-time / full-time
132,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
133,"San Diego, CA",72,35360,0,35-0000,Part-time (≤ 32 hours)
134,"San Diego, CA",72,43680,0,51-0000,Full-time (> 32 hours)
135,"San Diego, CA",72,32240,0,41-0000,Part-time / full-time
136,"San Diego, CA",72,44850,0,41-0000,Part-time (≤ 32 hours)
137,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
138,"San Diego, CA",72,33280,0,41-0000,Part-time / full-time
139,"San Diego, CA",72,52000,0,11-0000,Full-time (> 32 hours)
140,"San Diego, CA",72,31200,0,35-0000,Full-time (> 32 hours)
141,"San Diego, CA",72,33280,0,35-0000,Full-time (> 32 hours)
142,"San Diego, CA",72,35360,0,37-0000,Full-time (> 32 hours)
143,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
144,"San Diego, CA",72,32760,0,53-0000,Full-time (> 32 hours)
145,"San Diego, CA",72,39520,0,37-0000,Full-time (> 32 hours)
146,"San Diego, CA",72,36400,0,35-0000,Part-time (≤ 32 hours)
147,"San Diego, CA",72,35360,0,35-0000,Part-time / full-time
148,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
149,"San Diego, CA",72,47840,0,41-0000,Full-time (> 32 hours)
150,"San Diego, CA",72,42120,0,49-0000,Full-time (> 32 hours)
151,"San Diego, CA",72,33800,0,37-0000,Full-time (> 32 hours)
152,"San Diego, CA",72,31200,0,41-0000,Part-time / full-time
153,"San Diego, CA",72,33280,0,37-0000,Full-time (> 32 hours)
154,"San Diego, CA",72,35360,0,35-0000,Part-time (≤ 32 hours)
155,"San Diego, CA",72,37440,0,35-0000,Full-time (> 32 hours)
156,"San Diego, CA",72,28080,0,35-0000,Full-time (> 32 hours)
157,"San Diego, CA",72,37440,0,53-0000,Full-time (> 32 hours)
158,"San Diego, CA",72,31200,0,41-0000,Part-time / full-time
159,"San Diego, CA",72,31720,0,35-0000,Part-time / full-time
160,"San Diego, CA",72,47840,0,35-0000,Full-time (> 32 hours)
161,"San Diego, CA",72,32760,0,35-0000,Part-time (≤ 32 hours)
162,"San Diego, CA",72,34320,0,41-0000,Part-time (≤ 32 hours)
163,"San Diego, CA",72,43680,0,35-0000,Full-time (> 32 hours)
164,"San Diego, CA",72,32760,0,35-0000,Full-time (> 32 hours)
165,"San Diego, CA",72,43680,0,35-0000,Part-time / full-time
166,"San Diego, CA",72,52000,0,25-0000,Full-time (> 32 hours)
167,"San Diego, CA",72,37440,0,37-0000,Full-time (> 32 hours)
168,"San Diego, CA",72,49920,0,43-0000,Part-time (≤ 32 hours)
169,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
170,"San Diego, CA",72,31200,0,51-0000,Part-time / full-time
171,"San Diego, CA",72,41600,0,11-0000,Part-time (≤ 32 hours)
172,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
173,"San Diego, CA",72,35360,0,35-0000,Part-time (≤ 32 hours)
174,"San Diego, CA",72,52000,0,41-0000,Full-time (> 32 hours)
175,"San Diego, CA",72,31200,0,35-0000,Part-time / full-time
176,"San Diego, CA",72,29120,0,35-0000,Part-time / full-time
177,"San Diego, CA",72,50128,0,11-0000,Full-time (> 32 hours)
178,"San Diego, CA",72,37440,0,11-0000,Full-time (> 32 hours)
179,"San Diego, CA",72,41600,0,41-0000,Part-time (≤ 32 hours)
180,"San Diego, CA",72,30867.5,0,35-0000,Full-time (> 32 hours)
181,"San Diego, CA",72,12480,0,35-0000,Part-time (≤ 32 hours)
182,"San Diego, CA",72,35360,0,37-0000,Full-time (> 32 hours)
183,"San Diego, CA",72,67500,0,11-0000,Full-time (> 32 hours)
184,"San Diego, CA",72,43680,0,43-0000,Full-time (> 32 hours)
185,"San Diego, CA",72,33280,0,35-0000,Full-time (> 32 hours)
186,"San Diego, CA",72,39520,0,35-0000,Full-time (> 32 hours)
187,"San Diego, CA",72,31200,0,35-0000,Part-time (≤ 32 hours)
188,"San Diego, CA",72,70000,0,11-0000,Full-time (> 32 hours)
189,"San Diego, CA",72,32240,0,37-0000,Part-time / full-time
190,"San Diego, CA",72,38480,0,41-0000,Full-time (> 32 hours)
191,"San Diego, CA",72,33280,0,35-0000,Part-time (≤ 32 hours)
192,"San Diego, CA",72,180000,1,21-0000,Full-time (> 32 hours)
